gene_name	gene_length	rm_count	by_count
YDR348C	1500	210.0	106.0
YKL182W	6156	2172.0	1227.0
YDR333C	2172	338.0	390.0
YKL018C-A	300	0.0	99.0
YPL027W	738	0.0	0.0
YIR012W	1296	741.0	290.0
YLR363C	657	143.0	166.0
YEL077W-A	483	0.0	45.0
YDR179C	489	0.0	82.0
YML089C	369	47.0	0.0
YLR431C	1362	47.0	149.0
YKR046C	852	484.0	100.0
YJR005W	2103	247.0	185.0
YJL116C	1014	50.0	95.0
YER030W	462	52.0	99.0
YHR041C	633	194.0	0.0
YJR072C	1158	300.0	640.0
YEL030C-A	315	0.0	0.0
YKR039W	1809	1054.0	1778.0
YGL003C	1701	147.0	98.0
YPL009C	3117	98.0	140.0
YDR268W	1140	146.0	100.0
YGL192W	1803	145.0	52.0
YDL117W	2658	312.0	272.0
YMR131C	1536	874.0	598.0
YMR293C	1395	146.0	198.0
YJL214W	1710	0.0	50.0
YIL105C	2061	197.0	235.0
YML126C	1476	865.0	244.0
YLR189C	3597	214.0	150.0
YIL150C	1716	96.0	49.0
YLR349W	507	141.0	147.0
YGL250W	726	0.0	50.0
YBR212W	2019	48.0	100.0
YJR109C	3357	601.0	913.0
YLR254C	570	48.0	143.0
YGR085C	525	579.0	513.0
YPL105C	2550	250.0	392.0
YGR145W	2124	144.0	187.0
YGR110W	1338	108.0	53.0
YDR248C	582	344.0	193.0
YGL154C	819	101.0	92.0
YBR129C	987	259.0	100.0
YDL215C	3279	641.0	429.0
YKL099C	753	195.0	196.0
YDR315C	846	100.0	0.0
YLR394W	1449	50.0	0.0
YNL104C	1860	743.0	404.0
YNL151C	756	98.0	45.0
YNR066C	1311	50.0	94.0
YLR220W	969	397.0	199.0
YHR006W	1626	473.0	219.0
YMR232W	2034	0.0	0.0
YNL083W	1485	46.0	49.0
YER168C	1641	412.0	151.0
YPL265W	1827	48.0	243.0
YOR227W	3741	47.0	97.0
YOR081C	2250	93.0	159.0
YEL026W	381	284.0	92.0
YGR050C	357	0.0	0.0
YDR021W	1200	96.0	94.0
YGL063W	1113	50.0	48.0
YPL212C	1635	398.0	198.0
YOL157C	1770	0.0	0.0
YOR345C	351	0.0	49.0
YPR095C	3681	100.0	50.0
YOR310C	1536	1007.0	388.0
YDR188W	1641	702.0	769.0
YAL027W	786	49.0	193.0
YGL236C	2010	98.0	49.0
YHR133C	876	328.0	560.0
YDR017C	3153	241.0	237.0
YIL090W	1476	148.0	296.0
YBR183W	951	254.0	151.0
YOL048C	1029	48.0	143.0
YCR007C	720	43.0	0.0
YDR016C	285	140.0	151.0
YEL004W	1029	0.0	50.0
YPR057W	1026	261.0	93.0
YLL032C	2478	245.0	0.0
YDR116C	858	295.0	102.0
YPL119C-A	264	0.0	0.0
YHR130C	336	0.0	50.0
YLR030W	792	0.0	0.0
YDR122W	3195	145.0	190.0
YOL062C	1476	263.0	219.0
YNL234W	1281	0.0	167.0
YLR467W	5391	48.0	196.0
YJL194W	1542	50.0	291.0
YOL015W	1761	0.0	45.0
YDL070W	1917	458.0	317.0
YOR241W	1647	532.0	223.0
YLR056W	1098	664.0	594.0
YPR039W	336	0.0	50.0
Q0092	141		
YKL110C	942	253.0	46.0
YML100W-A	174	0.0	0.0
YNL255C	462	368.0	371.0
YLR204W	336	70.0	52.0
YML097C	1356	196.0	168.0
YKR007W	555	50.0	50.0
YDL096C	327	119.0	0.0
YHR193C	525	445.0	291.0
YBL099W	1638	1141.0	198.0
YOR126C	717	49.0	50.0
YMR023C	1581	100.0	100.0
YOR119C	1455	147.0	72.0
YIL047C-A	369	0.0	120.0
YNL187W	1074	105.0	195.0
YMR141C	309	0.0	47.0
YLL014W	327	185.0	48.0
YCL045C	2283	266.0	150.0
YCR061W	1896	50.0	50.0
YOR199W	330	0.0	0.0
YPR115W	3252	151.0	212.0
YHR088W	888	227.0	51.0
YBR017C	2757	310.0	287.0
YPR162C	1590	238.0	98.0
YGR166W	1683	100.0	43.0
YDL161W	1365	198.0	194.0
YKL050C	2769	50.0	0.0
YJR055W	495	49.0	47.0
YGL099W	1923	96.0	96.0
YFL030W	1158	307.0	0.0
YIL119C	1224	96.0	138.0
YPL193W	1146	100.0	0.0
YNL005C	1116	291.0	227.0
YGL217C	342	0.0	0.0
YJL144W	315	0.0	0.0
YLR379W	375	50.0	0.0
YJR139C	1080	1018.0	868.0
YBR133C	2484	145.0	150.0
YBR162C	1368	791.0	555.0
YOR130C	879	133.0	222.0
YJL079C	900	101.0	470.0
YGL019W	837	295.0	150.0
YGR201C	678	50.0	144.0
YNL172W	5247	98.0	145.0
YNL058C	951	94.0	141.0
YPL160W	3273	1182.0	849.0
YOL083C-A	141	0.0	0.0
YNL023C	2898	199.0	167.0
YDR214W	1053	330.0	343.0
YIL126W	4080	251.0	186.0
YLR295C	375	281.0	96.0
YER175W-A	165	0.0	0.0
YHR168W	1557	189.0	0.0
YOR064C	660	194.0	50.0
YOR159C	285	118.0	127.0
YOL081W	9240	435.0	244.0
YOL036W	2286	489.0	143.0
YGL148W	1131	581.0	327.0
YPR204C-A	483	0.0	0.0
YBR282W	441	50.0	50.0
YDR194C	1995	583.0	283.0
YOL114C	609	54.0	0.0
YJR108W	372	0.0	0.0
YNR030W	1656	149.0	314.0
YAL037C-A	93	50.0	59.0
YML007C-A	111	0.0	0.0
YKL076C	384	193.0	83.0
YDR466W	2697	343.0	60.0
YFR045W	930	192.0	0.0
YIL002C	2841	245.0	0.0
YGR159C	1245	879.0	633.0
YLR369W	1974	174.0	50.0
YFR032C	870	0.0	0.0
YNL118C	2913	198.0	329.0
YGL228W	1734	199.0	246.0
YJR117W	1362	195.0	199.0
YBR196C-A	150	49.0	0.0
YBR196C-B	105	0.0	50.0
YIL030W-A	339	0.0	0.0
YLR357W	2670	133.0	149.0
YER127W	1074	297.0	100.0
YJR093C	984	50.0	109.0
YLR017W	1014	620.0	318.0
YHR110W	639	340.0	0.0
YBR041W	2010	142.0	147.0
YOR394W	495	0.0	0.0
YPL078C	735	611.0	282.0
YCL068C	783	0.0	0.0
YDL039C	2097	48.0	0.0
YKL202W	582	0.0	0.0
YGR122C-A	129	0.0	50.0
YOR264W	1293	359.0	199.0
YNL042W-B	258	0.0	0.0
YBL029C-A	285	49.0	0.0
YGL173C	4587	503.0	379.0
YOR366W	354	0.0	0.0
YNL275W	1731	199.0	99.0
YAR015W	921	822.0	589.0
YOR384W	2085	50.0	0.0
YLL051C	2139	147.0	0.0
YDR427W	1182	454.0	575.0
YLR079W	855	301.0	0.0
YLR408C	369	0.0	0.0
YMR093W	1542	240.0	192.0
YKR066C	1086	186.0	198.0
YDR079W	336	49.0	50.0
YMR268C	1335	50.0	47.0
YOR169C	465	192.0	108.0
YML070W	1755	612.0	504.0
YHR175W-A	150	0.0	49.0
YPR072W	1683	275.0	49.0
YMR108W	2064	533.0	702.0
YCR091W	2163	0.0	97.0
YER062C	753	411.0	368.0
YDR244W	1839	417.0	223.0
YER189W	369	0.0	0.0
YJL009W	327	97.0	76.0
YDL137W	546	538.0	479.0
YGR271W	5904	147.0	276.0
YDR233C	888	478.0	321.0
YGR071C	2583	147.0	50.0
YCR106W	2499	391.0	0.0
YBL100C	315	274.0	51.0
YDR489W	885	50.0	0.0
YPL282C	495	0.0	0.0
YPR049C	3537	202.0	100.0
YDL057W	987	144.0	155.0
YPR014C	330	0.0	0.0
YGR257C	1101	199.0	297.0
YEL045C	426	50.0	0.0
YPL235W	1416	559.0	414.0
YLR122C	378	0.0	0.0
YLR155C	1089	0.0	776.0
YBL087C	414	513.0	521.0
YJL132W	2253	48.0	117.0
YGL190C	1581	339.0	156.0
YBR110W	1350	245.0	150.0
YDR144C	1791	139.0	119.0
YOR180C	816	50.0	0.0
YFL046W	624	0.0	96.0
YOR103C	393	97.0	99.0
YKL137W	336	149.0	127.0
YDR447C	411	627.0	572.0
YAL061W	1254	98.0	296.0
YNL324W	396	0.0	0.0
YPR145W	1719	790.0	673.0
YJL063C	717	245.0	149.0
YDL160C-A	243	50.0	0.0
YPL021W	564	0.0	0.0
YIR010W	1731	98.0	48.0
YDR331W	1236	206.0	144.0
YML056C	1575	1026.0	958.0
YKR044W	1332	245.0	94.0
YLR433C	1662	98.0	97.0
YMR068W	1281	145.0	144.0
YLR157C-C	132	127.0	125.0
YFL068W	483	48.0	50.0
YER032W	2631	145.0	0.0
YJR070C	978	610.0	207.0
YGL005C	840	0.0	144.0
YHR043C	741	0.0	160.0
YDL111C	798	240.0	143.0
YMR133W	1287	0.0	0.0
YPL007C	1767	145.0	238.0
YKL159C	636	0.0	146.0
YDR507C	3429	433.0	264.0
YKR075W-A	270	0.0	0.0
YLR138W	2958	344.0	146.0
YBR101C	873	362.0	240.0
YLR396C	2076	90.0	122.0
YBR245C	3390	193.0	220.0
YJL216C	1746	50.0	0.0
YBR210W	429	128.0	51.0
YPL103C	1407	148.0	138.0
YIL103W	1278	308.0	149.0
YIL152W	708	48.0	96.0
YJR096W	849	264.0	49.0
YAL010C	1482	97.0	0.0
YGR143W	2316	100.0	184.0
YGR112W	1170	0.0	153.0
YLR256W	4509	50.0	350.0
YHR174W	1314	1385.0	1365.0
YOR012W	414	0.0	94.0
YHR062C	882	198.0	252.0
YDL213C	678	188.0	143.0
YDR317W	1245	47.0	0.0
YDR478W	597	195.0	48.0
YKL097C	411	0.0	0.0
YOL164W-A	183	0.0	0.0
YNL106C	3552	50.0	140.0
YOR378W	1548	100.0	0.0
YFR015C	2127	48.0	0.0
YMR230W	318	413.0	432.0
YIL092W	1902	99.0	101.0
YLR321C	1281	99.0	47.0
YGR052W	1110	0.0	0.0
YJR161C	1152	238.0	95.0
YOR278W	828	166.0	45.0
YNL085W	2493	440.0	197.0
YGL061C	744	99.0	91.0
YPL210C	1923	652.0	418.0
YOR087W	2028	238.0	148.0
YGL234W	2409	1690.0	1095.0
YOR347C	1521	50.0	50.0
YPR093C	867	50.0	50.0
YAL029C	4416	146.0	303.0
YOL155C	2904	1895.0	974.0
YDR421W	2853	148.0	99.0
YGR186W	2208	242.0	319.0
YDR294C	1770	473.0	346.0
YHR135C	1617	296.0	95.0
YDR015C	240	0.0	0.0
YBR181C	711	905.0	763.0
YOR078W	645	127.0	145.0
YOR243C	2031	528.0	352.0
YMR165C	2589	101.0	49.0
YCR005C	1383	1452.0	1431.0
YGR296W	5580	0.0	191.0
YLR163W-A	114	0.0	47.0
YPR055W	3198	101.0	97.0
YHR037W	1728	339.0	48.0
YLR032W	3510	123.0	147.0
YDR114C	303	49.0	111.0
YLL030C	342	0.0	0.0
YDL185C-A	228	49.0	0.0
YLL065W	351	0.0	0.0
YPR046W	546	97.0	44.0
YBR099C	384	49.0	0.0
YBL027W	570	616.0	544.0
YOL060C	2121	297.0	100.0
YIR018C-A	138	0.0	0.0
YNL208W	600	396.0	400.0
YNL232W	879	210.0	210.0
YDL076C	885	96.0	49.0
YOR225W	330	49.0	50.0
YDR120C	1713	472.0	476.0
YLR465C	309	0.0	0.0
YJL192C	705	316.0	193.0
YEL020C-B	198	200.0	115.0
YLR054C	2175	0.0	0.0
YLR009W	600	202.0	196.0
YDR063W	450	0.0	92.0
YOR352W	1032	0.0	0.0
YGR238C	2649	291.0	46.0
YLR423C	1254	50.0	98.0
YDR278C	318	77.0	85.0
YLR105C	1134	163.0	97.0
YML091C	3609	146.0	0.0
YHR191C	402	151.0	49.0
YDL098C	585	0.0	97.0
YLR202C	327	50.0	98.0
YLR299C-A	93	0.0	0.0
YKR005C	1578	45.0	0.0
YMR143W	432	466.0	221.0
YCR063W	474	50.0	0.0
YNL189W	1629	704.0	350.0
YCL047C	777	0.0	153.0
YGL122C	1578	195.0	198.0
YDL018C	678	151.0	192.0
YNL303W	348	92.0	0.0
YPR160W	2709	150.0	48.0
YBL060W	2064	148.0	44.0
YEL025C	3567	147.0	345.0
YBR019C	2100	0.0	49.0
YKL056C	504	565.0	553.0
YKL065W-A	222	0.0	0.0
YGR160W	612	443.0	271.0
YDL163W	303	0.0	92.0
YPL068C	882	48.0	0.0
YJR057W	651	195.0	117.0
YKL178C	1413	536.0	0.0
YFL032W	321	50.0	50.0
YLR377C	1047	51.0	48.0
YBL063W	3336	198.0	145.0
YAL059W	639	45.0	45.0
YNL007C	1059	361.0	443.0
YPL148C	522	100.0	0.0
YJR137C	4329	850.0	291.0
YMR021C	1254	331.0	198.0
YMR074C	438	230.0	325.0
YDR378C	261	256.0	143.0
YJR039W	3366	100.0	48.0
YDL158C	309	0.0	44.0
YOR104W	849	195.0	214.0
YFL009W	2340	99.0	246.0
YLR297W	390	46.0	0.0
YLR279W	390	50.0	50.0
YDR216W	3972	50.0	0.0
YIL120W	1692	50.0	0.0
YNL021W	2121	200.0	95.0
YGR095C	672	144.0	144.0
YCL027W	1539	0.0	50.0
YHR029C	885	145.0	282.0
YIR021W-A	213	45.0	0.0
YAL033W	522	50.0	147.0
YBR284W	2394	0.0	0.0
YNR036C	462	209.0	295.0
YNR049C	633	150.0	164.0
YDR192C	1293	99.0	0.0
YOL112W	1479	97.0	193.0
YHR032C-A	120	63.0	50.0
YOL083W	1239	0.0	45.0
YNL251C	1728	50.0	0.0
YBR266C	453	195.0	90.0
YBL004W	7482	313.0	390.0
YER145C-A	438	215.0	211.0
YBR164C	552	245.0	301.0
YHR074W	2145	574.0	191.0
YDR464W	4308	250.0	198.0
YFR030W	3108	924.0	406.0
YBR131W	2115	99.0	45.0
YKL078W	2208	195.0	48.0
YIL055C	1884	0.0	0.0
YPL053C	1341	528.0	481.0
YLR351C	876	421.0	495.0
YEL009C-A	408	0.0	0.0
YNR014W	639	50.0	95.0
YER125W	2430	145.0	138.0
YER152C	1332	150.0	357.0
YLR015W	1518	191.0	163.0
YHR116W	456	0.0	0.0
YPL259C	1428	100.0	49.0
YOR198C	1413	188.0	245.0
YOR039W	777	95.0	50.0
YDL037C	987	0.0	0.0
YLR334C	381	0.0	0.0
YHL043W	513	0.0	50.0
YOR364W	369	48.0	0.0
YOR386W	1698	49.0	50.0
YDR397C	441	209.0	0.0
YPR198W	1632	247.0	194.0
YHL038C	1893	96.0	52.0
YLL053C	459	0.0	0.0
YDR425W	1878	144.0	49.0
YOR331C	558	338.0	231.0
YML076C	2835	100.0	49.0
YKR060W	825	168.0	148.0
YER069W	2592	732.0	656.0
YMR091C	1308	473.0	191.0
YER012W	597	222.0	60.0
YHR098C	2790	259.0	193.0
YDL135C	609	145.0	246.0
YCR093W	6327	295.0	179.0
YGR273C	525	0.0	0.0
YPR108W-A	213	0.0	0.0
YBR069C	1860	99.0	91.0
YGR077C	1770	199.0	146.0
YCR104W	375	0.0	0.0
YDR512C	564	98.0	100.0
YPR012W	255	0.0	0.0
YGR255C	1440	388.0	0.0
YDL051W	828	560.0	292.0
YBL102W	648	290.0	429.0
YGR073C	372	51.0	172.0
YLR120C	1710	145.0	124.0
YCL001W-B	255	0.0	0.0
YEL043W	2871	243.0	50.0
YNL068C	2589	250.0	52.0
YJL169W	369	145.0	56.0
YJR080C	1185	267.0	0.0
YDR146C	2130	357.0	95.0
YBR112C	2901	193.0	188.0
YBL081W	1107	50.0	114.0
YFL040W	1623	50.0	0.0
YNL326C	1011	150.0	100.0
YDR337W	861	188.0	48.0
YJL061W	2142	334.0	245.0
YPR147C	915	50.0	148.0
YKL131W	522	46.0	0.0
YDR441C	546	51.0	47.0
YPL094C	825	360.0	332.0
YOR101W	930	188.0	201.0
YOR314W-A	111	0.0	0.0
YDR231C	618	197.0	48.0
YJL112W	2145	296.0	285.0
YFL066C	1179	0.0	48.0
YNL193W	1677	152.0	0.0
YML058W	315	209.0	290.0
YOR071C	1797	50.0	0.0
YER034W	558	49.0	0.0
YJR076C	1248	163.0	149.0
YKL157W	2859	665.0	448.0
YBR003W	1422	45.0	191.0
YOL140W	1272	552.0	351.0
YPR129W	1050	196.0	94.0
YDL113C	1923	50.0	100.0
YMR135C	1368	147.0	240.0
YGL007W	378	0.0	0.0
YPL005W	1821	101.0	191.0
YBR247C	1452	392.0	191.0
YLR185W	267	398.0	257.0
YJL210W	816	50.0	102.0
YLR398C	3864	287.0	98.0
YIL154C	1041	287.0	243.0
YIL101C	1944	0.0	0.0
YKL004W	1206	355.0	0.0
YOR208W	2253	145.0	0.0
YPL154C	1218	506.0	424.0
YPL101W	1371	99.0	254.0
YLR258W	2118	440.0	291.0
YBR178W	375	0.0	0.0
YJR098C	1971	48.0	0.0
YHR176W	1299	147.0	97.0
YJR018W	363	0.0	94.0
YMR326C	309	0.0	0.0
YDL244W	1023	0.0	50.0
YDR319C	825	49.0	103.0
YKL095W	837	50.0	0.0
YOL099C	492	50.0	0.0
YIL094C	1116	984.0	946.0
YLR451W	2661	201.0	50.0
YFR017C	588	0.0	47.0
YLR342W-A	174	0.0	0.0
YHR017W	1158	225.0	128.0
YNR077C	255	0.0	0.0
YOL044W	1152	242.0	148.0
YLR323C	780	94.0	50.0
YOR085W	1053	146.0	135.0
YGR054W	1929	312.0	291.0
YOR050C	348	50.0	0.0
YNL087W	3537	499.0	655.0
YGR114C	390	0.0	0.0
YLR318W	2655	50.0	0.0
YBR278W	606	155.0	0.0
YNL024C-A	219	186.0	92.0
YDR296W	681	50.0	98.0
YGL232W	870	144.0	127.0
YPR091C	2313	48.0	143.0
YGR141W	1404	49.0	143.0
YAR030C	342	47.0	0.0
YJR158W	1704	0.0	49.0
YHR137W	1542	0.0	0.0
YBR187W	843	460.0	364.0
YMR198W	1785	144.0	50.0
YCR003W	552	147.0	143.0
YMR316C-B	309	0.0	0.0
YMR316C-A	312	0.0	0.0
YMR163C	2118	50.0	93.0
YGR294W	363	0.0	0.0
YEL008W	381	48.0	0.0
YLL067C	3618	50.0	93.0
YPL029W	2214	281.0	46.0
YHR086W-A	162	0.0	0.0
YBR020W	1587	48.0	0.0
YLR418C	1182	288.0	163.0
YDR112W	309	106.0	0.0
YER059W	1263	99.0	50.0
YPL153C	2466	140.0	45.0
YBL025W	438	49.0	46.0
YOL066C	1776	270.0	99.0
YDR126W	1011	50.0	50.0
YGL167C	2853	244.0	50.0
YOR223W	879	0.0	45.0
YEL022W	4380	192.0	428.0
YIL053W	753	327.0	588.0
YDL074C	2103	557.0	100.0
YLR463C	552	0.0	0.0
YJL190C	393	465.0	447.0
YMR218C	3309	244.0	95.0
YNL265C	897	50.0	140.0
YNL230C	1140	178.0	145.0
YLL049W	540	50.0	0.0
YHR211W	3228	50.0	94.0
YPR166C	348	245.0	51.0
YJL042W	4197	243.0	191.0
YNL301C	561	591.0	466.0
YDR445C	408	0.0	65.0
YMR058W	1911	249.0	389.0
YDR061W	1620	692.0	375.0
YJR112W-A	330	144.0	0.0
YOR290C	5112	120.0	51.0
YKL114C	1104	144.0	257.0
YML024W	411	458.0	504.0
YML093W	2700	314.0	544.0
YHR197W	2292	606.0	477.0
YDR276C	168	143.0	158.0
YLR200W	345	50.0	79.0
YKR003W	1347	223.0	47.0
YLR107W	1215	384.0	202.0
YMR321C	318	180.0	0.0
YER175C	900	0.0	49.0
YKL135C	2181	613.0	335.0
YDL183C	963	94.0	47.0
YPL278C	303	0.0	50.0
Q0075	1065		
YMR118C	591	49.0	51.0
YCL049C	939	45.0	145.0
YBL066C	3447	0.0	0.0
YGL107C	1941	298.0	0.0
YGR271C-A	702	292.0	218.0
YDR169C	1542	145.0	147.0
YOR057W	1188	100.0	54.0
YLR169W	354	91.0	48.0
YMR272C	1155	493.0	216.0
YPR108W	1290	716.0	561.0
YKL054C	2217	500.0	416.0
YGR162W	2859	1221.0	911.0
YDL165W	576	192.0	182.0
YDR032C	597	510.0	346.0
YKL023W	834	148.0	0.0
YJR051W	1506	293.0	101.0
YNL009W	1263	0.0	0.0
YFL034W	3222	0.0	0.0
YKL164C	1026	608.0	761.0
YJR135C	720	80.0	0.0
YGL213C	1194	245.0	100.0
YOR161W-A	81	75.0	0.0
YMR076C	3834	99.0	50.0
YGR205W	873	47.0	43.0
YJR037W	384	0.0	0.0
YNL027W	2037	50.0	148.0
YLR291C	1146	333.0	297.0
YDR210W	228	151.0	230.0
YIL122W	1056	0.0	0.0
YDL230W	1008	49.0	97.0
YJR113C	744	259.0	146.0
YGL075C	1164	0.0	141.0
YIR026C	1095	149.0	100.0
YIL156W-B	222	0.0	50.0
YIL156W-A	402	0.0	45.0
YLR416C	399	0.0	0.0
YGR097W	3441	94.0	47.0
YIL068C	2418	315.0	140.0
YCL025C	1902	101.0	0.0
YNR034W	966	55.0	0.0
YOL085C	342	50.0	0.0
YNL282W	588	0.0	144.0
YBR286W	1614	822.0	667.0
YGL144C	2058	0.0	0.0
YDR190C	1392	860.0	601.0
YAL031C	2283	197.0	95.0
YBL006C	543	239.0	414.0
YGR108W	1416	480.0	796.0
YBR264C	600	100.0	100.0
YBR231C	912	49.0	135.0
YLR162W-A	189	185.0	185.0
YPL197C	414	393.0	275.0
YBR166C	1359	246.0	252.0
YDR462W	444	50.0	45.0
YJL148W	702	295.0	360.0
YIL057C	495	0.0	0.0
YPL055C	999	45.0	50.0
YLR353W	1812	144.0	50.0
YIL148W	387	520.0	472.0
YNR016C	6702	1662.0	529.0
YFR036W	375	0.0	51.0
YER023C-A	213	99.0	0.0
YHR114W	1902	50.0	148.0
YGL079W	657	0.0	51.0
YER150W	447	100.0	50.0
YNL279W	1986	0.0	0.0
YCL034W	1065	409.0	457.0
YLR156C-A	132	123.0	131.0
YDL068W	330	0.0	0.0
YOL027C	1722	207.0	145.0
YPL257W	582	0.0	0.0
YPL120W	1674	186.0	48.0
YOL145C	3234	437.0	237.0
YJL099W	2241	50.0	143.0
YDR034W-B	156	0.0	0.0
YOL110W	714	77.0	206.0
YDR005C	1188	216.0	96.0
YMR311C	690	261.0	150.0
YHL041W	450	0.0	0.0
YBL039C	1740	824.0	602.0
YGR188C	3066	45.0	113.0
YOR362C	867	563.0	303.0
Q0297	156		
YLR126C	756	97.0	45.0
YDL053C	558	44.0	165.0
YML074C	1236	356.0	0.0
YKR062W	987	50.0	191.0
YBR235W	3363	241.0	198.0
YER010C	705	150.0	98.0
YML003W	873	50.0	50.0
YMR097C	1104	48.0	147.0
YDL133W	1314	193.0	225.0
YNL330C	1302	305.0	342.0
YGR228W	345	146.0	50.0
YHR096C	1779	49.0	48.0
YDL035C	2886	381.0	190.0
YMR253C	1245	52.0	50.0
YCR102C	1107	0.0	0.0
YJL127C-B	159	146.0	0.0
YOR257W	486	85.0	96.0
YGR002C	1431	99.0	96.0
YDR042C	603	0.0	0.0
YGR075C	729	197.0	296.0
YGR253C	783	676.0	441.0
YDR510W	306	180.0	165.0
YEL014C	306	50.0	0.0
YPL050C	1188	582.0	283.0
YMR166C	1107	0.0	98.0
YOL085W-A	213	0.0	0.0
YPR045C	1413	149.0	193.0
YPR010C	3612	1298.0	445.0
YPL231W	5664	2837.0	1327.0
YLR148W	2757	297.0	352.0
YMR137C	1986	148.0	48.0
YDL082W	600	598.0	405.0
YKL155C	1887	168.0	174.0
YBR162W-A	198	147.0	226.0
YFL042C	2025	50.0	0.0
YBL083C	426	50.0	0.0
YDR148C	1392	334.0	98.0
YHR052W-A	195	115.0	170.0
YPL096W	1092	146.0	183.0
YDR335W	3675	192.0	277.0
YPR141C	2190	99.0	48.0
YJL067W	351	47.0	50.0
YMR039C	879	282.0	98.0
YDR342C	1713	353.0	244.0
YDR443C	4263	190.0	96.0
YCR095C	1089	198.0	94.0
YLL011W	1470	234.0	238.0
YCR077C	2391	242.0	0.0
YLR437C	402	44.0	49.0
YFL064C	525	0.0	0.0
YNL191W	1074	46.0	47.0
YDR237W	879	187.0	95.0
YJL110C	1656	200.0	95.0
YDR540C	540	0.0	148.0
YBR001C	2343	141.0	93.0
YPL003W	1389	49.0	315.0
YKL108W	1362	50.0	50.0
YJR094C	1083	0.0	97.0
YJR074W	657	169.0	320.0
YPR127W	1038	50.0	244.0
YDL148C	2433	369.0	618.0
YAL012W	1185	441.0	481.0
YMR288W	2916	144.0	194.0
YIL156W	3216	95.0	50.0
YBR241C	1467	94.0	0.0
YHR063W-A	336	186.0	258.0
YKL006W	417	520.0	472.0
